order_date,product_name,category,region,quantity,unit_price,total_sales
2025-01-01,Laptop,Electronics,South,10,50000,500000
2025-01-02,Mouse,Electronics,North,20,500,10000
2025-01-03,Keyboard,Electronics,East,15,1500,22500
2025-01-04,Monitor,Electronics,West,8,12000,96000
2025-01-05,Laptop,Electronics,North,12,50000,600000
2025-01-06,Mouse,Electronics,South,25,500,12500
2025-01-07,Keyboard,Electronics,West,18,1500,27000
2025-01-08,Monitor,Electronics,East,5,12000,60000
2025-01-09,Tablet,Electronics,North,30,30000,900000
2025-01-10,Tablet,Electronics,South,22,30000,660000
2025-01-11,Laptop,Electronics,East,9,50000,450000
2025-01-12,Mouse,Electronics,West,35,500,17500
2025-01-13,Keyboard,Electronics,South,12,1500,18000
2025-01-14,Monitor,Electronics,North,7,12000,84000
2025-01-15,Tablet,Electronics,West,20,30000,600000
2025-01-16,Laptop,Electronics,South,11,50000,550000
2025-01-17,Mouse,Electronics,East,28,500,14000
2025-01-18,Keyboard,Electronics,North,14,1500,21000
2025-01-19,Monitor,Electronics,South,6,12000,72000
2025-01-20,Tablet,Electronics,East,24,30000,720000
2025-01-21,Laptop,Electronics,West,13,50000,650000
2025-01-22,Mouse,Electronics,North,32,500,16000
2025-01-23,Keyboard,Electronics,East,16,1500,24000
2025-01-24,Monitor,Electronics,West,4,12000,48000
2025-01-25,Tablet,Electronics,South,26,30000,780000
2025-01-26,Laptop,Electronics,North,10,50000,500000
2025-01-27,Mouse,Electronics,South,40,500,20000
2025-01-28,Keyboard,Electronics,West,19,1500,28500
2025-01-29,Monitor,Electronics,East,9,12000,108000
2025-01-30,Tablet,Electronics,North,21,30000,630000
2025-01-31,Laptop,Electronics,East,14,50000,700000
2025-02-01,Mouse,Electronics,West,30,500,15000
2025-02-02,Keyboard,Electronics,South,11,1500,16500
2025-02-03,Monitor,Electronics,North,8,12000,96000
2025-02-04,Tablet,Electronics,East,23,30000,690000
2025-02-05,Laptop,Electronics,South,15,50000,750000
2025-02-06,Mouse,Electronics,North,27,500,13500
2025-02-07,Keyboard,Electronics,West,13,1500,19500
2025-02-08,Monitor,Electronics,South,6,12000,72000
2025-02-09,Tablet,Electronics,North,29,30000,870000
2025-02-10,Laptop,Electronics,West,12,50000,600000
2025-02-11,Mouse,Electronics,East,33,500,16500
2025-02-12,Keyboard,Electronics,South,17,1500,25500
2025-02-13,Monitor,Electronics,West,5,12000,60000
2025-02-14,Tablet,Electronics,East,18,30000,540000
2025-02-15,Laptop,Electronics,North,11,50000,550000
2025-02-16,Mouse,Electronics,South,38,500,19000
2025-02-17,Keyboard,Electronics,East,20,1500,30000
2025-02-18,Monitor,Electronics,North,7,12000,84000
2025-02-19,Tablet,Electronics,West,25,30000,750000
2025-02-20,Laptop,Electronics,East,16,50000,800000
2025-02-21,Mouse,Electronics,West,22,500,11000
2025-02-22,Keyboard,Electronics,North,15,1500,22500
2025-02-23,Monitor,Electronics,South,10,12000,120000
2025-02-24,Tablet,Electronics,North,28,30000,840000
2025-02-25,Laptop,Electronics,South,9,50000,450000
2025-02-26,Mouse,Electronics,East,31,500,15500
2025-02-27,Keyboard,Electronics,West,12,1500,18000
2025-02-28,Monitor,Electronics,East,8,12000,96000
2025-03-01,Tablet,Electronics,South,24,30000,720000
2025-03-02,Laptop,Electronics,North,13,50000,650000
2025-03-03,Mouse,Electronics,South,36,500,18000
2025-03-04,Keyboard,Electronics,East,18,1500,27000
2025-03-05,Monitor,Electronics,West,6,12000,72000
2025-03-06,Tablet,Electronics,East,27,30000,810000
2025-03-07,Laptop,Electronics,West,10,50000,500000
2025-03-08,Mouse,Electronics,North,24,500,12000
2025-03-09,Keyboard,Electronics,South,16,1500,24000
2025-03-10,Monitor,Electronics,North,9,12000,108000
2025-03-11,Tablet,Electronics,West,22,30000,660000
2025-03-12,Laptop,Electronics,East,17,50000,850000
2025-03-13,Mouse,Electronics,South,29,500,14500
2025-03-14,Keyboard,Electronics,North,14,1500,21000
2025-03-15,Monitor,Electronics,East,7,12000,84000
2025-03-16,Tablet,Electronics,North,30,30000,900000
2025-03-17,Laptop,Electronics,South,12,50000,600000
2025-03-18,Mouse,Electronics,West,34,500,17000
2025-03-19,Keyboard,Electronics,East,19,1500,28500
2025-03-20,Monitor,Electronics,South,5,12000,60000
2025-03-21,Tablet,Electronics,West,26,30000,780000
2025-03-22,Laptop,Electronics,North,14,50000,700000
2025-03-23,Mouse,Electronics,East,37,500,18500
2025-03-24,Keyboard,Electronics,West,11,1500,16500
2025-03-25,Monitor,Electronics,North,8,12000,96000
2025-03-26,Tablet,Electronics,South,19,30000,570000
2025-03-27,Laptop,Electronics,East,15,50000,750000
2025-03-28,Mouse,Electronics,North,26,500,13000
2025-03-29,Keyboard,Electronics,South,22,1500,33000
2025-03-30,Monitor,Electronics,West,4,12000,48000
2025-03-31,Tablet,Electronics,East,28,30000,840000
